"id","name","competition_date","season","status","created_at","created_by","updated_at","updated_by"
8,"Week 1","2025-10-29","2025","open","2025-10-30T13:20:32.863+00:00","38f186b2-b4fd-4ee3-8ee2-9a505ad593ae","2025-10-30","38f186b2-b4fd-4ee3-8ee2-9a505ad593ae"
9,"Week 2","2025-11-05","2025","open","2025-10-30T17:17:59.185351+00:00",,,
10,"Week 3","2025-11-19","2025","open","2025-11-18T12:47:04.178103+00:00",,,
11,"Week 4","2025-11-26","2025","open","2025-12-02T13:45:22.909129+00:00",,,
12,"Week 5","2025-12-03","2025","open","2025-12-03T16:08:09.288419+00:00",,,
13,"Week 6","2025-12-10","2025","open","2025-12-10T16:33:24.934799+00:00",,,
14,"Week 7","2025-12-17","2025","open","2025-12-22T20:25:53.968946+00:00",,,
15,"Week 8 ","2026-01-14","2025","open","2026-01-14T15:40:22.58546+00:00",,,
16,"Week 9","2026-01-21","2025","open","2026-01-22T20:00:57.492459+00:00",,,
17,"Week 10","2026-01-28","2025","open","2026-01-28T18:36:29.414579+00:00",,,
18,"Week 11","2026-02-04","2025","open","2026-02-04T19:01:30.099193+00:00",,,
19,"Week 12","2026-02-18","2025","open","2026-02-18T16:34:22.951951+00:00",,,
20,"Week 13","2026-02-25","2025","open","2026-03-02T18:47:05.281346+00:00",,,
21,"Week 14","2026-03-04","2025","open","2026-03-11T10:45:35.536909+00:00",,,
22,"Week 15","2026-03-11","2025","open","2026-03-12T14:52:11.252065+00:00",,,
23,"Week 16","2026-03-18","2025","open","2026-03-25T14:48:31.130546+00:00",,,
24,"Week 16","2026-03-25","2025","open","2026-03-25T17:43:43.254044+00:00",,,